_id,nombre,descripción,categoria,tiempo_preparación,dificultad,instrucciones,imagen,ingredientes,rendimiento,etiquetas,caracteristicas
6805380d9af12c5503d861e0,Huevos revueltos,"Un desayuno proteico y delicioso, para iniciar tu mañana.",Desayuno,5,Fácil,Mezclar todo y cocinar en sartén caliente.,https://example.com/huevos_revueltos.jpg,"[{'nombre': 'Huevos', 'cantidad': 2, 'unidad': 'Unidades'}, {'nombre': 'Manteca', 'cantidad': 1, 'unidad': 'Cucharada'}, {'nombre': 'Sal', 'cantidad': 1, 'unidad': 'Pizca'}, {'nombre': 'Pimienta', 'cantidad': 1, 'unidad': 'Pizca'}]","[{'cantidad': 1, 'unidad': 'Porción', 'texto': 'Una porción'}, {'cantidad': 200, 'unidad': 'g', 'texto': '200g'}]","[{'tipo': 'temp', 'valor': 'frio'}, {'tipo': 'color', 'valor': 'rojo', 'texto': 'Vermelho'}]","[{'tipo': 'vegetariano', 'valor': True, 'texto': 'Vegetariano'}, {'tipo': 'vegan', 'valor': False, 'texto': 'Vegano'}]"
6805380d9af12c5503d861e1,Tostadas francesas,"Pan dulce y dorado, ideal para el desayuno.",Desayuno,10,Fácil,"Remojar pan en mezcla de huevo y leche, freír.",https://example.com/tostadas.jpg,"[{'nombre': 'Pan', 'cantidad': 2, 'unidad': 'Rebanadas'}, {'nombre': 'Huevo', 'cantidad': 1, 'unidad': 'Unidad'}, {'nombre': 'Leche', 'cantidad': 1, 'unidad': 'Cucharada'}]","[{'cantidad': 1, 'unidad': 'Porción', 'texto': 'Una porción'}, {'cantidad': 180, 'unidad': 'g', 'texto': '180g'}]",[],"[{'tipo': 'vegetariano', 'valor': True, 'texto': 'Vegetariano'}, {'tipo': 'vegan', 'valor': False, 'texto': 'No vegano'}]"
6805380d9af12c5503d861e2,Ensalada caprese,"Fresca y rápida, una explosión de sabor.",Almuerzo,7,Fácil,"Cortar tomates, mozzarella y albahaca; agregar aceite.",https://example.com/caprese.jpg,"[{'nombre': 'Tomate', 'cantidad': 1, 'unidad': 'Unidad'}, {'nombre': 'Mozzarella', 'cantidad': 100, 'unidad': 'g'}, {'nombre': 'Albahaca', 'cantidad': 5, 'unidad': 'Hojas'}]","[{'cantidad': 1, 'unidad': 'Porción', 'texto': 'Una porción'}, {'cantidad': 250, 'unidad': 'g', 'texto': '250g'}]","[{'tipo': 'color', 'valor': 'verde'}]","[{'tipo': 'vegetariano', 'valor': True, 'texto': 'Vegetariano'}, {'tipo': 'vegan', 'valor': False, 'texto': 'No vegano'}]"
6805380d9af12c5503d861e3,Batido de banana,"Refrescante, nutritivo y rápido.",Bebida,3,Fácil,Licuar todos los ingredientes y servir frío.,https://example.com/batido_banana.jpg,"[{'nombre': 'Banana', 'cantidad': 1, 'unidad': 'Unidad'}, {'nombre': 'Leche', 'cantidad': 1, 'unidad': 'Taza'}, {'nombre': 'Miel', 'cantidad': 1, 'unidad': 'Cucharada'}]","[{'cantidad': 1, 'unidad': 'Vaso', 'texto': 'Un vaso grande'}, {'cantidad': 300, 'unidad': 'ml', 'texto': '300ml'}]","[{'tipo': 'temp', 'valor': 'frio'}]","[{'tipo': 'vegetariano', 'valor': True, 'texto': 'Vegetariano'}, {'tipo': 'vegan', 'valor': False, 'texto': 'No vegano'}]"
6805380d9af12c5503d861e4,Guacamole,"Dip clásico de palta, ideal para acompañar.",Entrada,5,Fácil,Pisar palta y mezclar con los otros ingredientes.,https://example.com/guacamole.jpg,"[{'nombre': 'Palta', 'cantidad': 1, 'unidad': 'Unidad'}, {'nombre': 'Cebolla', 'cantidad': 1, 'unidad': 'Cucharada'}, {'nombre': 'Limón', 'cantidad': 1, 'unidad': 'Unidad'}]","[{'cantidad': 1, 'unidad': 'Taza', 'texto': 'Una taza'}, {'cantidad': 150, 'unidad': 'g', 'texto': '150g'}]",[],"[{'tipo': 'vegetariano', 'valor': True, 'texto': 'Vegetariano'}, {'tipo': 'vegan', 'valor': True, 'texto': 'Vegano'}]"
6805380d9af12c5503d861e5,Arepas venezolanas,"Versátiles y deliciosas, ideales para cualquier comida.",Almuerzo,20,Media,"Mezclar harina con agua y sal, formar discos y cocinar.",https://example.com/arepas.jpg,"[{'nombre': 'Harina de maíz', 'cantidad': 1, 'unidad': 'Taza'}, {'nombre': 'Agua', 'cantidad': 1, 'unidad': 'Taza'}, {'nombre': 'Sal', 'cantidad': 1, 'unidad': 'Pizca'}]","[{'cantidad': 2, 'unidad': 'Unidades', 'texto': 'Dos arepas'}, {'cantidad': 300, 'unidad': 'g', 'texto': '300g'}]","[{'tipo': 'regional', 'valor': 'latinoamérica'}]","[{'tipo': 'vegetariano', 'valor': True, 'texto': 'Vegetariano'}, {'tipo': 'vegan', 'valor': True, 'texto': 'Vegano'}]"
6805380d9af12c5503d861e6,Tortilla de papas,Tradicional y perfecta para compartir.,Cena,25,Media,"Freír papas, mezclar con huevo y cocinar.",https://example.com/tortilla_papas.jpg,"[{'nombre': 'Papas', 'cantidad': 2, 'unidad': 'Unidades'}, {'nombre': 'Huevos', 'cantidad': 3, 'unidad': 'Unidades'}, {'nombre': 'Aceite', 'cantidad': 2, 'unidad': 'Cucharadas'}]","[{'cantidad': 2, 'unidad': 'Porciones', 'texto': 'Dos porciones'}, {'cantidad': 350, 'unidad': 'g', 'texto': '350g'}]","[{'tipo': 'color', 'valor': 'amarillo'}]","[{'tipo': 'vegetariano', 'valor': True, 'texto': 'Vegetariano'}, {'tipo': 'vegan', 'valor': False, 'texto': 'No vegano'}]"
6805380d9af12c5503d861e7,Sopa de lentejas,"Nutritiva y reconfortante, ideal para días fríos.",Cena,40,Media,Hervir todo junto hasta que las lentejas estén tiernas.,https://example.com/sopa_lentejas.jpg,"[{'nombre': 'Lentejas', 'cantidad': 1, 'unidad': 'Taza'}, {'nombre': 'Zanahoria', 'cantidad': 1, 'unidad': 'Unidad'}, {'nombre': 'Cebolla', 'cantidad': 1, 'unidad': 'Unidad'}]","[{'cantidad': 2, 'unidad': 'Porciones', 'texto': 'Dos porciones'}, {'cantidad': 500, 'unidad': 'g', 'texto': '500g'}]","[{'tipo': 'temp', 'valor': 'caliente'}]","[{'tipo': 'vegetariano', 'valor': True, 'texto': 'Vegetariano'}, {'tipo': 'vegan', 'valor': True, 'texto': 'Vegano'}]"
6805380d9af12c5503d861e8,Pizza margarita,"Sencilla, sabrosa y con sabor a Italia.",Cena,30,Media,"Armar la pizza con salsa, queso y hornear.",https://example.com/pizza_margarita.jpg,"[{'nombre': 'Masa para pizza', 'cantidad': 1, 'unidad': 'Unidad'}, {'nombre': 'Salsa de tomate', 'cantidad': 3, 'unidad': 'Cucharadas'}, {'nombre': 'Mozzarella', 'cantidad': 100, 'unidad': 'g'}]","[{'cantidad': 1, 'unidad': 'Pizza', 'texto': 'Una pizza mediana'}, {'cantidad': 600, 'unidad': 'g', 'texto': '600g'}]","[{'tipo': 'color', 'valor': 'rojo'}]","[{'tipo': 'vegetariano', 'valor': True, 'texto': 'Vegetariano'}, {'tipo': 'vegan', 'valor': False, 'texto': 'No vegano'}]"
6805380d9af12c5503d861e9,Fruta picada,"Refrescante, natural y fácil.",Postre,5,Fácil,Cortar toda la fruta y servir en un bowl.,https://example.com/fruta_picada.jpg,"[{'nombre': 'Manzana', 'cantidad': 1, 'unidad': 'Unidad'}, {'nombre': 'Banana', 'cantidad': 1, 'unidad': 'Unidad'}, {'nombre': 'Naranja', 'cantidad': 1, 'unidad': 'Unidad'}]","[{'cantidad': 1, 'unidad': 'Bowl', 'texto': 'Un bowl grande'}, {'cantidad': 400, 'unidad': 'g', 'texto': '400g'}]","[{'tipo': 'temp', 'valor': 'frio'}]","[{'tipo': 'vegetariano', 'valor': True, 'texto': 'Vegetariano'}, {'tipo': 'vegan', 'valor': True, 'texto': 'Vegano'}]"
